TransactionAmount,TransactionCount,Age,AnnualIncome,NumCreditCards,PaymentHistoryDaysLate,SpendScore,Default
2268,16,46,57733,6,15,0.2,0
3088,37,25,27050,0,5,0.68,1
2414,22,28,134996,4,0,0.36,0
1497,29,58,58933,6,5,0.9,1
2635,14,54,49951,0,60,0.88,1
800,28,31,57413,3,0,0.62,0
2563,5,47,137573,1,5,0.2,0
2261,30,52,160566,6,5,0.65,0
441,5,38,147744,6,0,0.17,0
2241,12,54,114431,4,5,0.12,0
3024,16,22,68001,2,0,0.76,0
3617,26,36,92364,3,0,0.27,0
2812,26,31,149988,4,0,0.4,0
3145,21,43,70028,0,0,0.88,0
1563,39,21,156878,0,90,0.37,1
2339,36,42,149343,0,5,0.34,0
1590,33,62,153301,7,0,0.83,0
3203,30,59,151295,0,15,0.19,0
1678,37,42,59636,2,5,0.71,1
3699,23,35,49262,3,60,0.89,1
2756,10,57,105435,5,0,0.82,0
975,5,25,153583,1,0,0.62,0
234,36,56,66844,2,0,0.35,0
2453,34,57,89754,2,0,0.3,0
3352,31,31,102129,7,30,0.76,1
2155,10,49,65042,5,0,0.8,1
1785,19,55,86665,5,45,0.52,1
3659,32,50,141953,1,0,0.3,1
3273,1,40,170271,1,10,0.19,0
1221,5,32,143533,5,60,0.17,1
3661,4,50,98781,0,5,0.68,1
2813,16,42,91262,2,60,0.44,1
1329,24,34,71600,4,0,0.82,1
1700,16,50,101898,1,45,0.69,0
902,2,64,174369,7,0,0.25,0
2649,28,19,55448,7,30,0.59,1
2977,32,31,51172,1,45,0.45,1
1779,27,57,32657,5,45,0.56,1
361,20,57,137855,3,0,0.69,0
401,24,56,32906,4,0,0.74,0
2181,12,23,86413,4,0,0.77,1
1195,35,23,79028,1,60,0.3,0
2517,33,20,32287,0,0,0.12,1
1015,33,24,58660,3,60,0.69,1
3542,37,25,85504,4,30,0.19,1
655,12,59,127979,1,5,0.35,0
3733,3,32,59701,7,90,0.1,1
3998,1,64,108300,4,15,0.65,0
1475,33,46,173746,6,0,0.23,0
1216,10,50,108560,3,30,0.62,0
3973,29,47,179946,3,90,0.89,1
2543,13,56,68642,6,10,0.16,0
3996,12,44,90160,2,30,0.16,0
2967,31,53,42602,7,0,0.37,1
537,2,46,128320,6,0,0.79,0
1078,35,55,113801,5,15,0.27,0
1276,23,50,50931,5,30,0.39,1
991,17,54,119377,1,0,0.15,0
2464,26,44,54192,3,5,0.71,1
963,8,50,71542,2,0,0.43,1
2435,29,21,152015,2,15,0.71,1
579,26,39,67520,4,5,0.82,1
692,10,19,89772,4,30,0.29,1
3312,26,27,75106,6,30,0.75,1
1380,34,22,106121,2,45,0.15,1
2262,7,27,50559,6,15,0.82,1
264,4,50,130595,7,90,0.62,1
2768,11,55,58742,6,0,0.8,1
1567,29,30,94669,4,0,0.1,1
1352,36,48,177826,3,30,0.24,0
2227,25,64,160044,6,0,0.41,0
2895,21,53,95831,0,30,0.4,0
1695,36,62,137217,3,0,0.28,0
3334,10,41,66873,2,5,0.41,1
1362,37,32,131532,2,0,0.2,0
1722,9,46,151267,6,5,0.43,0
2840,24,25,165975,3,30,0.74,1
591,35,22,159092,4,60,0.48,0
1898,35,46,66755,4,0,0.11,0
618,36,64,110956,5,90,0.44,1
2536,18,21,111988,2,0,0.12,0
578,39,29,70648,1,0,0.87,1
1996,32,62,150991,5,15,0.2,0
3761,24,19,165588,4,0,0.67,0
2478,23,44,140005,3,0,0.88,0
3265,32,48,27396,7,90,0.76,1
2288,37,53,109082,4,60,0.66,1
3299,12,53,175201,3,5,0.77,0
2382,13,43,153322,5,5,0.89,1
400,23,60,157663,2,10,0.6,0
2063,25,44,36303,4,30,0.55,1
979,35,22,96719,6,60,0.6,1
3177,30,37,124616,3,10,0.53,0
3304,17,28,149165,2,0,0.61,0
3319,20,27,111231,7,30,0.46,1
702,25,57,32314,7,30,0.27,1
2654,22,55,44623,1,45,0.2,1
3845,13,23,130228,3,45,0.15,1
1951,19,25,122624,5,0,0.31,0
1004,36,40,136785,1,0,0.14,0
2346,12,64,111206,1,0,0.55,0
2931,19,43,94274,0,0,0.33,0
2095,12,63,158541,4,0,0.76,0
2973,9,60,78947,3,0,0.16,0
1770,7,29,178606,1,45,0.28,0
1160,28,43,73874,0,45,0.68,1
2860,14,30,74708,5,45,0.58,1
1685,31,57,99553,2,60,0.15,0
2890,19,35,93344,6,15,0.8,1
1228,16,42,74138,6,0,0.8,1
3489,5,50,72638,3,60,0.36,1
702,35,64,103249,1,5,0.37,0
3014,12,57,130865,6,0,0.89,1
597,25,60,27719,4,90,0.6,1
1070,21,29,178962,6,30,0.53,0
3042,36,61,67534,6,0,0.77,1
592,23,53,117241,6,10,0.33,0
406,16,21,174859,7,5,0.44,0
1238,39,22,151209,0,0,0.31,0
2081,39,54,117124,1,90,0.73,1
3825,14,25,116659,4,60,0.56,1
3139,31,59,100713,1,0,0.63,0
1684,5,45,100418,7,30,0.3,0
3962,35,48,153232,3,0,0.28,0
3846,23,26,169059,3,15,0.49,0
1063,29,46,56575,3,45,0.69,0
2990,11,31,88852,5,45,0.52,1
3512,18,57,157079,6,30,0.13,0
763,12,58,101242,5,90,0.79,1
1220,9,39,54257,0,60,0.15,0
295,10,28,169353,3,45,0.86,0
2123,17,40,86246,7,0,0.12,1
1957,38,18,26435,4,10,0.66,1
2732,7,63,116357,1,0,0.17,0
3678,13,54,161156,6,0,0.83,0
2478,9,38,169579,2,5,0.47,0
2996,27,43,108807,4,0,0.21,1
1878,2,63,140953,6,0,0.37,0
3442,5,53,163563,5,30,0.23,0
740,29,40,148797,5,5,0.24,0
1259,37,18,88888,4,0,0.86,0
2772,38,57,98609,5,60,0.46,1
1383,19,32,34077,3,15,0.73,1
1922,8,38,45953,0,15,0.61,0
3514,1,64,139682,1,0,0.64,0
3357,22,26,92889,0,45,0.21,1
2019,17,26,179893,6,0,0.29,1
2825,7,27,140374,1,5,0.73,0
2929,25,43,49860,7,5,0.88,1
2804,4,58,177267,1,30,0.31,0
1797,36,52,102475,0,30,0.32,1
3260,6,42,112266,4,15,0.48,0
2893,31,43,177499,1,15,0.89,0
995,19,28,125732,7,90,0.32,1
1251,39,55,52083,7,10,0.43,0
1843,27,19,82372,7,10,0.81,1
3827,10,24,148786,0,90,0.1,1
1563,26,35,32813,1,45,0.13,1
2181,19,44,56598,2,10,0.58,1
1554,39,51,118106,4,0,0.83,1
1863,3,44,52082,3,0,0.29,0
1729,13,34,54241,1,5,0.48,0
2238,28,60,36745,7,0,0.46,1
3619,20,61,51029,2,90,0.48,1
1696,28,41,169097,3,0,0.6,0
3502,8,42,148395,3,0,0.48,1
2437,39,24,170360,6,15,0.46,0
3496,1,23,114186,1,30,0.48,1
1608,3,41,162612,0,10,0.57,0
1600,13,50,122768,1,90,0.53,1
1506,28,46,66846,2,5,0.78,1
2880,25,60,100932,3,0,0.14,0
2875,33,39,173554,1,30,0.77,0
1172,38,43,48411,0,0,0.78,1
1968,6,45,103797,6,10,0.33,1
1482,32,38,77307,1,0,0.47,0
3630,21,24,159165,4,15,0.45,0
909,16,34,47042,6,15,0.27,0
1679,21,37,77930,0,45,0.42,1
1634,11,58,122883,2,5,0.14,0
848,37,37,58756,3,30,0.32,0
517,36,39,78268,1,60,0.75,1
3948,35,45,73901,0,60,0.33,1
3496,19,57,124986,6,30,0.75,0
1457,20,24,153386,4,0,0.53,0
883,18,18,30626,0,5,0.8,0
863,14,49,163496,5,0,0.56,0
2198,15,30,37857,7,0,0.12,0
3645,31,47,176054,4,0,0.64,0
3943,1,40,158052,6,30,0.14,0
1831,3,36,51431,2,0,0.46,0
1695,16,49,109976,3,60,0.84,1
3504,23,47,107711,6,0,0.23,0
3963,11,46,51385,7,90,0.41,1
1336,12,62,179091,2,45,0.68,0
2053,10,46,43639,1,60,0.81,1
1720,32,47,110530,0,5,0.64,1
2689,16,33,46563,5,15,0.31,1
763,8,57,140672,4,90,0.64,0
1491,38,36,161848,4,90,0.34,1
3781,12,35,164783,0,0,0.67,0
3657,24,18,107970,5,45,0.86,1
3658,28,31,110553,0,45,0.68,0
3384,8,64,107879,1,0,0.79,0
1836,28,19,161727,7,0,0.1,0
3896,36,45,69859,2,10,0.67,1
3199,26,47,77098,6,60,0.76,1
3352,8,55,171323,4,60,0.13,0
898,28,21,147413,1,60,0.8,0
2360,28,18,25526,2,10,0.31,1
201,37,25,93760,1,0,0.63,0
841,36,46,72837,5,45,0.74,1
2467,27,56,36536,4,0,0.63,1
1789,17,20,53541,6,5,0.17,1
1054,9,49,104083,0,45,0.58,0
1959,33,27,59531,0,0,0.54,1
3496,20,27,33712,2,90,0.82,1
2632,13,36,129101,6,0,0.42,0
3674,28,63,90455,7,15,0.36,0
1861,29,51,99744,3,10,0.7,0
1353,13,50,154749,5,30,0.43,0
1276,35,40,30109,2,0,0.62,1
1907,6,45,74268,3,5,0.62,0
2977,18,49,79615,1,60,0.81,1
1895,5,24,107503,5,0,0.58,0
1933,25,46,110708,1,0,0.5,0
1639,2,25,127471,7,0,0.21,0
2494,10,18,108309,6,60,0.19,1
1035,30,20,151446,4,30,0.22,1
3710,5,41,131661,5,10,0.24,0
402,33,40,31154,3,0,0.61,0
3455,1,25,177876,7,60,0.69,1
322,18,64,89288,4,5,0.52,0
600,32,54,76195,0,10,0.76,0
966,11,20,45581,3,5,0.89,1
493,21,50,55087,2,10,0.76,0
2527,26,45,94298,0,30,0.66,0
3131,25,64,71167,7,15,0.53,0
3881,22,25,64499,0,5,0.46,1
397,27,51,150816,2,60,0.17,0
3229,13,52,121347,5,10,0.42,0
2130,33,49,73787,0,0,0.83,1
3782,34,41,60488,6,45,0.75,1
2999,35,31,99441,3,0,0.27,0
2391,1,49,47431,4,0,0.47,0
808,21,63,86681,0,15,0.75,0
3472,6,60,147720,3,15,0.15,0
1347,28,33,74153,1,0,0.41,0
386,17,21,31368,3,0,0.78,0
3597,5,54,137360,4,30,0.42,1
2711,31,38,137755,3,5,0.16,0
3620,5,31,81985,2,60,0.53,1
1994,38,48,75069,7,15,0.79,1
859,3,35,77326,4,0,0.57,0
3011,23,24,133737,7,0,0.28,0
3202,37,27,179470,5,30,0.41,0
2155,37,24,75861,7,30,0.46,1
2650,10,50,100897,1,0,0.56,0
1569,10,40,152118,2,0,0.71,0
2186,19,38,93577,5,0,0.18,1
1734,17,36,34078,3,0,0.81,1
346,21,36,87768,4,0,0.11,1
3419,14,53,76047,1,0,0.4,0
3111,9,46,96626,2,10,0.12,1
1934,1,35,82660,5,30,0.41,0
2043,13,19,157997,5,60,0.52,0
688,4,18,142832,1,10,0.51,0
3176,1,64,155406,6,5,0.23,0
2159,32,22,150150,3,0,0.62,1
1863,34,37,58320,1,0,0.14,1
2798,28,28,89881,5,0,0.71,1
2585,31,59,115827,0,15,0.86,1
3119,8,19,127215,2,0,0.37,0
840,39,20,159461,1,15,0.51,0
2002,26,40,169701,6,0,0.4,1
2720,34,29,86550,5,0,0.11,0
2169,3,37,49826,3,0,0.41,1
2398,12,22,125734,7,0,0.73,0
1638,1,54,123511,5,90,0.58,1
3569,5,55,36653,3,90,0.18,1
1834,30,47,106941,1,90,0.78,1
462,30,26,58662,3,45,0.52,0
1987,17,51,123818,4,10,0.77,0
2391,23,61,177360,4,0,0.56,0
2593,15,52,120081,4,0,0.55,0
823,37,39,61877,6,10,0.18,1
1216,21,61,136562,6,0,0.23,0
3843,14,41,171385,0,0,0.88,0
1080,2,34,97715,6,90,0.28,1
2249,11,27,166398,7,10,0.88,0
3144,39,47,135091,1,90,0.53,1
1527,38,63,157632,5,15,0.21,0
2501,34,40,104148,5,45,0.18,0
3923,38,49,108186,0,60,0.27,1
652,34,34,176094,6,5,0.84,0
3308,18,34,148629,7,45,0.43,1
1383,30,31,95316,3,0,0.42,1
3262,15,26,53380,0,60,0.35,1
2256,27,57,135198,7,0,0.22,0
3504,34,19,27356,3,0,0.49,1
3370,38,62,95326,7,90,0.2,1
1882,33,42,117447,3,0,0.77,0
3063,24,56,139994,2,10,0.4,0
2455,15,26,45049,7,10,0.4,1
1354,30,39,130361,5,0,0.48,0
603,17,60,41082,4,90,0.46,1
2399,5,63,25661,6,0,0.9,1
2301,29,21,27920,3,5,0.54,0
3391,4,43,104561,2,0,0.17,0
1896,10,46,33946,7,60,0.59,1
827,17,62,41309,5,0,0.22,1
786,10,51,80230,4,60,0.12,1
1848,17,40,136822,3,0,0.88,0
1643,20,54,137340,7,5,0.72,0
1645,24,28,84321,7,5,0.88,0
303,5,23,157028,3,0,0.48,1
453,34,35,99131,0,0,0.53,0
3498,6,38,50963,0,5,0.23,1
3383,2,59,126757,5,60,0.3,0
2757,13,53,124259,4,5,0.77,0
1696,11,58,64063,3,0,0.38,0
298,23,55,139225,5,10,0.76,0
2400,16,51,141400,5,60,0.67,1
2084,31,34,105818,1,0,0.24,0
3161,11,54,29703,7,15,0.51,1
2119,16,42,97099,6,15,0.64,0
1077,8,55,56585,7,0,0.29,0
537,4,29,178087,0,0,0.76,0
3977,4,40,68585,4,0,0.54,0
3069,25,59,51958,7,30,0.23,1
3434,3,39,51017,3,45,0.57,1
3991,32,38,149677,5,0,0.9,0
1156,3,44,168273,3,10,0.22,0
1904,27,48,54426,1,45,0.75,1
360,29,23,42778,4,10,0.27,0
1803,32,44,67229,5,45,0.73,1
3048,19,57,111652,3,0,0.69,0
597,21,51,153267,0,30,0.34,0
1500,5,29,151503,6,45,0.36,0
1015,18,62,109878,1,0,0.73,0
1727,28,24,82056,4,5,0.47,1
2119,22,27,44975,1,30,0.68,1
1615,21,62,179351,0,60,0.22,0
1358,6,34,167633,4,10,0.78,0
1418,1,43,113397,1,15,0.67,0
600,5,38,58142,2,0,0.83,1
839,12,45,51916,0,15,0.21,0
3304,26,63,89324,0,30,0.57,0
2935,34,19,150932,0,60,0.58,1
659,14,60,160720,2,10,0.38,0
1154,26,18,121059,2,60,0.47,1
669,27,53,123317,3,45,0.13,0
3646,9,43,60046,5,10,0.7,1
1245,26,46,126459,6,45,0.54,0
2997,22,38,70893,1,0,0.15,0
1893,30,28,126520,3,30,0.64,1
2285,17,57,150818,1,90,0.47,0
2477,26,28,86272,6,0,0.13,0
3636,36,53,92649,5,0,0.88,1
762,1,56,89674,2,60,0.86,0
2685,8,57,169832,5,90,0.51,1
1999,35,52,177999,2,45,0.17,0
3554,15,51,111475,6,5,0.7,0
2274,22,64,86367,5,0,0.49,0
425,14,41,168660,3,0,0.34,0
3548,26,39,146750,4,0,0.49,0
997,28,22,143154,3,90,0.52,1
3880,23,50,69738,1,15,0.55,0
2531,14,53,58397,3,10,0.45,1
3126,24,64,107189,6,0,0.58,1
1159,2,37,101367,0,30,0.83,1
1704,26,36,145585,1,90,0.39,1
652,14,52,101619,5,0,0.68,0
3267,7,60,136453,1,30,0.82,1
1015,3,34,44816,4,15,0.46,1
858,23,62,162348,2,5,0.45,0
3787,18,60,104530,5,60,0.58,0
746,38,51,179571,7,60,0.57,0
1415,35,26,133856,1,30,0.75,0
3320,15,43,96635,5,45,0.48,0
3783,25,19,132803,5,5,0.9,0
216,37,26,60946,5,60,0.15,1
3443,28,26,80204,2,5,0.1,1
1443,10,57,40563,7,0,0.61,0
2405,39,34,117324,6,5,0.34,0
2724,17,18,34847,3,0,0.29,1
1269,39,42,51155,5,15,0.35,1
3644,22,60,104671,0,60,0.3,0
2765,26,57,141891,6,5,0.12,0
2346,25,59,108310,4,30,0.88,0
1968,17,42,174381,2,0,0.28,0
1260,13,56,156691,1,0,0.69,0
2527,20,52,59707,2,0,0.71,1
3620,25,20,176409,1,45,0.84,0
2744,4,54,106537,2,5,0.12,0
501,10,61,116155,1,45,0.8,1
380,3,61,25281,5,45,0.52,1
806,18,47,157130,3,0,0.61,0
3370,36,55,101260,1,0,0.62,0
899,22,51,165272,7,5,0.76,0
1192,34,29,89178,1,0,0.37,0
1339,8,36,58997,0,60,0.69,1
390,19,54,144273,1,45,0.52,0
2500,37,61,157311,0,15,0.73,1
1180,6,34,151945,4,10,0.89,0
3175,26,27,70272,5,15,0.26,0
2206,34,64,114393,0,0,0.9,0
1384,6,29,86212,3,0,0.17,0
3527,37,33,171470,6,30,0.1,0
3594,33,41,145030,5,0,0.14,0
327,22,36,81503,0,60,0.37,1
2265,21,25,162710,5,90,0.61,1
2016,6,48,31570,7,45,0.16,1
1958,6,38,93785,5,15,0.1,0
2813,4,34,34110,5,10,0.85,1
769,30,40,104141,4,0,0.76,0
1546,11,54,37115,3,0,0.75,0
2095,30,33,64062,2,0,0.81,1
2933,31,23,47911,2,10,0.66,1
825,24,25,129061,0,10,0.18,1
3559,9,42,57556,5,0,0.42,1
3101,3,35,153335,0,0,0.68,0
1886,31,42,26969,4,60,0.32,1
3209,37,29,68753,4,5,0.65,1
3910,36,32,160542,1,5,0.12,0
354,24,43,146863,7,0,0.34,0
2737,31,58,35225,4,10,0.54,0
1609,6,62,148008,1,45,0.61,0
984,2,43,179268,3,0,0.56,0
3375,20,64,130823,0,60,0.66,0
3664,28,49,38669,6,0,0.1,1
445,11,27,149398,3,0,0.18,0
3447,4,33,135677,4,15,0.8,1
3310,15,24,73320,3,10,0.65,1
1700,6,34,171649,3,30,0.19,0
1905,30,40,150354,7,30,0.77,1
3006,38,43,113009,7,10,0.29,0
737,2,38,53625,7,90,0.48,1
2090,15,39,49089,3,60,0.22,1
