TransactionAmount,TransactionCount,Age,AnnualIncome,NumCreditCards,PaymentHistoryDaysLate,SpendScore,Default
9663,14,46,109590,1,11,0.19,0
1809,15,30,39704,2,16,0.47,0
552,14,29,96218,4,2,0.48,0
465,13,31,18360,4,1,0.22,1
1613,17,29,102289,1,3,0.39,0
917,16,38,28949,3,5,0.07,0
1941,10,19,92823,3,1,0.2,0
1601,8,23,60389,2,6,0.29,0
1034,16,23,33780,2,0,0.27,0
556,13,39,46900,3,0,0.11,0
326,13,45,90381,2,2,0.15,0
767,15,31,63801,3,2,0.31,0
2175,15,30,85020,2,1,0.66,0
1301,21,32,195998,1,3,0.59,0
404,14,41,23422,0,1,0.38,0
1259,10,24,157996,3,1,0.52,0
1492,10,33,63742,4,1,0.66,0
540,15,39,34917,4,18,0.14,0
1240,15,36,26951,3,2,0.72,0
1148,12,33,53451,3,2,0.58,0
439,14,40,104087,6,4,0.6,0
1460,11,18,55462,4,20,0.15,0
1717,8,37,148255,4,1,0.28,0
2608,14,26,25066,5,5,0.62,0
2547,6,18,59441,1,6,0.41,1
364,14,36,28241,4,4,0.43,0
517,20,42,74472,2,0,0.65,0
1655,11,30,101939,4,5,0.32,0
1654,11,39,46515,5,0,0.51,0
1655,17,44,12549,2,4,0.71,0
23913,9,42,67465,4,6,0.75,0
1731,14,45,77811,1,1,0.23,0
2720,16,37,76311,2,9,0.3,0
2352,22,32,125676,4,0,0.56,0
1846,15,19,31488,1,9,0.78,0
852,7,30,90050,1,3,0.21,0
2012,18,25,122455,0,1,0.55,0
590,15,49,20595,3,0,0.36,0
907,7,30,72532,3,15,0.68,0
743,14,32,44244,4,0,0.24,0
1170,8,36,57015,2,1,0.69,0
6986,9,32,73762,3,2,0.61,0
246,10,45,44697,6,4,0.31,0
1898,11,27,39917,2,3,0.1,0
301,13,33,61113,2,0,0.51,0
751,15,26,31183,2,1,0.36,0
2620,12,21,31210,4,1,0.08,0
1154,8,27,90005,1,1,0.7,0
463,13,31,30053,4,2,0.34,0
618,13,28,89302,3,6,0.69,1
1888,10,26,79027,3,1,0.51,0
611,6,20,21258,5,2,0.69,1
1303,11,31,39873,3,2,0.03,1
1137,13,19,122573,1,18,0.43,0
651,15,38,33233,1,15,0.82,0
6094,8,32,45313,3,8,0.22,0
1820,13,20,79002,5,1,0.43,0
216,14,29,95801,4,0,0.17,0
1273,10,25,51486,2,1,0.79,1
645,12,34,41835,7,1,0.32,0
2168,11,42,140564,0,3,0.43,0
581,12,18,169963,4,7,0.42,0
1000,6,32,107722,2,9,0.53,0
1642,9,30,63018,3,9,0.23,0
2192,17,37,36865,1,2,0.51,0
419,14,33,36378,3,5,0.38,0
839,13,25,81920,1,1,0.09,0
749,8,29,76959,3,0,0.06,0
650,6,25,138823,6,6,0.47,0
4502,9,40,88456,3,0,0.07,0
1516,15,32,24298,2,2,0.36,0
399,10,47,112551,1,1,0.19,0
2285,16,31,32897,4,5,0.47,0
5989,11,26,47553,4,7,0.56,0
2504,12,19,69572,3,1,0.55,0
325,17,18,198273,1,8,0.55,0
744,9,19,386911,4,1,0.46,0
3021,18,34,86166,2,2,0.6,0
622,13,36,53641,4,6,0.46,0
1564,15,19,82512,1,5,0.3,0
2037,8,39,101986,5,21,0.06,0
522,22,28,49394,3,1,0.69,0
1045,16,33,175804,1,5,0.8,1
82,11,44,68736,2,4,0.3,0
483,10,39,80712,1,12,0.29,0
896,8,29,89281,5,0,0.07,0
404,22,24,77107,1,6,0.31,0
4047,14,18,99048,3,4,0.39,0
349,15,26,41342,2,1,0.19,0
771,22,30,42831,3,3,0.19,0
1217,9,24,30943,2,2,0.39,0
3473,8,30,77940,5,4,0.35,1
347,10,32,95545,4,10,0.2,0
2780,11,30,78799,5,4,0.68,0
1105,13,26,163520,2,4,0.02,0
500,8,33,59673,3,3,0.66,0
1587,14,35,89432,2,0,0.21,0
1285,13,23,31100,1,1,0.36,0
678,9,43,47464,3,3,0.46,0
1159,9,31,90882,1,1,0.39,0
805,3,32,99654,7,1,0.34,0
1200,10,37,50192,6,3,0.31,0
1862,3,33,57356,3,1,0.37,0
3900,13,39,24083,4,1,0.57,0
407,11,34,48328,1,3,0.53,0
6041,12,27,102153,1,0,0.16,0
230,7,34,84552,2,13,0.7,0
971,10,22,80853,3,10,0.14,0
1755,9,32,61689,3,6,0.63,0
1373,22,31,60128,1,0,0.51,0
666,14,30,40287,4,7,0.13,0
928,17,30,91062,1,8,0.62,0
739,19,18,77078,3,7,0.51,0
684,12,27,80435,3,0,0.46,0
2163,17,32,43668,1,5,0.24,0
1459,14,33,16448,2,8,0.42,0
629,9,23,115646,4,4,0.21,0
2252,11,42,44922,2,5,0.4,0
1402,7,25,35679,0,3,0.15,0
2101,13,39,90770,4,3,0.74,0
1814,17,35,47324,0,0,0.39,0
564,10,26,113092,2,5,0.32,0
700,15,46,86699,5,0,0.5,0
1993,15,22,90232,1,2,0.75,0
1787,16,39,26381,5,1,0.24,0
1078,12,40,123892,4,3,0.52,0
1204,10,26,70034,4,0,0.43,0
3047,11,43,47974,3,5,0.37,0
683,11,29,65253,6,7,0.04,1
1698,9,34,20624,2,0,0.5,0
932,9,34,76511,4,0,0.57,0
921,13,30,32285,2,0,0.66,0
2641,13,38,26592,5,10,0.56,0
2122,11,38,24018,3,3,0.32,0
2102,12,18,116729,3,3,0.2,0
3116,11,42,41045,3,0,0.05,0
1115,13,18,150277,1,5,0.57,0
1892,13,40,43413,3,10,0.43,1
855,20,41,21495,6,8,0.38,0
1421,8,23,30640,3,4,0.22,0
988,10,28,125679,1,0,0.09,0
1185,12,23,54527,3,0,0.79,0
1765,10,30,43089,3,0,0.7,0
569,15,29,65907,2,1,0.74,0
5848,10,38,80908,3,0,0.74,0
490,14,42,117059,0,1,0.41,1
415,11,43,142785,8,2,0.26,0
2769,8,27,48249,1,14,0.31,0
2065,8,30,27021,1,4,0.24,0
1806,14,18,46719,3,9,0.26,0
1812,13,25,69994,2,6,0.48,0
1085,21,39,33581,2,0,0.18,0
534,15,44,33715,3,6,0.43,0
1165,20,22,73590,4,1,0.13,0
637,9,27,58151,3,5,0.39,0
2392,13,31,61064,7,2,0.4,0
974,10,34,37983,3,30,0.72,0
566,15,25,52143,3,1,0.16,0
848,16,35,34387,3,1,0.25,0
1525,14,28,102141,5,13,0.28,0
698,13,31,111429,5,0,0.57,0
568,13,36,19777,4,5,0.5,0
1332,9,32,34279,4,6,0.51,0
1334,13,28,24393,2,9,0.43,0
731,9,31,40537,6,18,0.18,0
752,13,31,56950,3,18,0.25,0
1320,14,29,25089,2,0,0.53,0
344,11,29,34436,6,8,0.46,0
355,7,44,32781,4,5,0.3,0
617,14,36,67802,3,5,0.08,0
924,9,29,62417,3,0,0.19,0
1406,8,37,38830,6,5,0.53,0
3569,9,29,66575,4,20,0.21,0
2177,6,41,43130,2,12,0.71,0
964,9,34,50868,1,2,0.88,0
1080,17,31,163418,3,0,0.35,0
491,12,35,133823,4,2,0.58,0
1080,10,19,27453,5,8,0.48,0
870,13,22,98502,6,6,0.56,0
1419,12,22,97424,2,3,0.78,0
565,8,33,30062,4,0,0.38,0
1661,8,45,97857,4,2,0.02,0
3737,7,49,150656,0,3,0.52,0
1005,15,37,30530,4,13,0.67,0
1512,18,36,34527,5,5,0.09,0
1904,11,18,110260,2,1,0.77,0
795,12,27,70466,5,3,0.83,0
1311,12,25,83356,4,0,0.57,1
1107,15,27,73449,5,17,0.12,0
1185,9,30,75691,2,2,0.43,0
590,12,28,27014,2,3,0.21,0
1118,11,18,112239,0,2,0.62,0
1633,13,37,120783,4,5,0.17,0
3501,18,23,52175,1,5,0.67,1
2362,11,33,58332,2,6,0.37,0
6139,15,48,23892,3,1,0.34,0
593,6,24,81515,2,1,0.27,0
2203,8,18,84392,2,0,0.31,0
1269,13,29,57681,1,5,0.35,0
6322,18,40,117549,3,0,0.06,0
574,13,47,48998,4,4,0.56,1
560,8,22,84016,6,10,0.31,0
678,11,35,32474,3,11,0.56,1
200,11,28,59033,2,2,0.59,0
720,21,31,53927,3,3,0.59,0
597,21,53,68540,1,0,0.49,0
1236,10,19,47967,2,5,0.49,0
1441,11,34,55332,1,8,0.68,0
4919,13,35,98285,3,1,0.49,0
2345,13,40,46071,4,2,0.48,0
691,8,32,22835,2,9,0.52,0
534,15,34,171056,2,10,0.82,0
1625,8,28,137155,3,1,0.82,1
381,10,34,27574,2,3,0.1,0
4746,14,29,90565,2,1,0.66,0
2817,16,36,44276,3,0,0.17,0
753,10,29,70129,1,12,0.41,0
278,12,35,71434,6,8,0.18,0
3239,11,31,52018,2,7,0.29,0
1000,11,41,37411,2,0,0.1,0
2952,15,31,39564,2,9,0.59,0
306,11,18,34554,4,2,0.54,0
678,15,42,36348,1,2,0.85,0
1101,12,24,57508,2,3,0.56,0
1138,21,26,38969,4,0,0.1,0
765,7,27,90150,3,7,0.63,0
1804,11,42,146143,3,4,0.23,0
466,7,18,42275,3,1,0.43,0
978,8,57,69122,6,1,0.16,1
1207,15,40,80806,3,1,0.76,0
1654,11,33,79475,3,0,0.25,0
1937,12,31,62665,1,4,0.25,0
445,15,34,93489,2,9,0.7,0
321,14,36,79965,4,0,0.28,0
3047,12,37,28492,3,0,0.68,0
1430,13,36,100860,3,4,0.37,1
602,8,32,101963,2,8,0.31,0
3793,12,30,37874,3,1,0.1,0
1202,3,30,61252,1,2,0.62,0
2817,14,30,90219,2,4,0.8,0
1157,6,41,52807,2,1,0.41,0
5702,20,36,113980,3,0,0.75,0
4466,10,18,247291,5,6,0.22,0
898,10,37,37361,3,4,0.47,0
2385,14,33,26143,6,4,0.27,0
1837,8,31,71846,2,6,0.68,0
3277,14,28,92312,5,5,0.3,0
506,9,40,52129,6,1,0.46,0
1898,10,39,143194,6,2,0.61,0
2557,13,25,26818,3,0,0.74,0
268,9,35,90739,4,0,0.76,0
425,13,24,41626,3,5,0.08,0
214,13,20,167984,2,9,0.59,0
884,15,26,197898,5,16,0.42,0
1946,13,38,37797,4,4,0.44,0
3647,7,39,43056,2,1,0.5,1
1163,18,36,100283,0,0,0.17,0
4035,11,37,47463,0,8,0.55,0
363,11,36,58264,5,4,0.25,0
280,19,26,60793,6,4,0.14,1
1048,7,35,18924,1,7,0.6,0
1491,17,38,59379,2,6,0.62,1
1068,10,38,39583,5,8,0.66,1
209,18,41,44539,4,0,0.34,0
1021,15,37,142369,3,6,0.74,0
386,15,34,28172,2,9,0.47,1
1873,8,40,97530,0,1,0.67,0
1470,4,31,50646,4,5,0.66,0
517,16,24,50622,5,1,0.3,0
726,12,30,96203,2,15,0.29,0
469,15,26,73425,3,0,0.45,0
1043,13,26,84319,7,4,0.79,0
2354,10,30,107034,5,0,0.37,0
498,13,25,49080,3,6,0.45,0
1641,8,29,41467,1,0,0.51,0
717,7,18,31222,3,1,0.3,0
581,15,33,36488,4,3,0.72,0
1006,13,32,351321,1,12,0.3,0
479,13,25,126349,3,1,0.54,0
704,10,37,26618,3,0,0.56,0
420,12,39,27079,4,7,0.6,1
5280,15,19,79947,1,3,0.49,0
1128,15,25,83146,2,12,0.23,0
626,20,25,83227,3,0,0.73,1
1301,10,24,51381,2,5,0.02,1
1002,10,38,55532,1,1,0.38,0
918,11,30,72891,1,0,0.46,0
1792,17,29,63040,3,5,0.49,0
2010,11,18,15810,0,4,0.29,0
717,14,37,52162,3,7,0.53,0
691,13,22,35923,1,1,0.52,0
880,15,32,66511,1,2,0.59,0
173,13,34,359027,7,2,0.59,0
326,13,42,74644,3,20,0.53,0
3273,13,21,49606,2,1,0.63,1
4088,13,18,104097,4,1,0.49,0
898,12,33,79986,4,2,0.23,1
1739,5,46,77038,0,4,0.21,1
1406,15,41,86172,3,1,0.47,0
12875,15,33,205649,3,12,0.22,0
2685,11,28,30377,7,1,0.06,0
989,10,38,79553,3,11,0.71,0
510,6,24,34343,2,0,0.8,0
303,13,35,83558,4,5,0.24,0
1290,13,36,34502,2,11,0.31,1
598,13,40,46610,2,0,0.26,0
351,7,54,50158,3,17,0.48,0
653,16,35,107526,0,3,0.23,0
461,13,27,103888,0,14,0.3,0
4228,8,31,28355,3,5,0.57,1
2220,10,18,61880,4,1,0.16,0
1089,9,26,39114,6,1,0.4,0
3582,10,28,28138,4,1,0.14,0
1166,9,27,52564,2,0,0.19,0
550,11,33,49757,2,0,0.12,0
3708,7,25,256794,8,0,0.41,0
1687,14,40,77635,4,2,0.39,0
478,11,32,26197,3,7,0.04,1
941,15,31,42665,1,0,0.37,1
544,13,29,110506,2,0,0.12,0
362,15,33,209622,1,5,0.78,0
